artistname,birthdate,death date,birthplace,country of residence,biography text,nationality
Ahmad Nawash,1934,,"Jerusalem, Palestine","Amman, Jordan",Nawash graduated from the Accademia di Belle Arti in Rome in 1964 and completed a degree in Graphics and Etching from the École des Beaux-Arts in Bordeaux in 1970 and also studied at the École Nationale Supérieure des Beaux-Arts in Paris from 1975 to 1977.,Palestinian
Leila Nseir,1941,,"Latakia, Syria",Syria,"Nseir studied painting at the Faculty of Arts in Cairo during the 1960s and returned to Syria to teach art at secondary schools in Latakia and Damascus. Her socialist, expressive work has influenced younger generations of Syrian artists.",Syrian
Mahmoud al-Obaidi,1966,,"Baghdad, Iraq",Canada and Qatar,"Al-Obaidi earned his BFA from the Academy of Fine Arts in Baghdad in 1990 and went on to obtain an MFA in 1999 from the University of Guelph in Ontario, Canada, where he lived. He also studied Film Production and Direction in Los Angeles.",Iraqi
Ahmad Osman,1907,1970,Egypt,"Cairo and Alexandria, Egypt","Osman spent five years in Rome where he completed a degree and MA in Sculpture from the Accademia di Belle Arti. Back in Egypt he served for 18 years as Head of the Sculpture Department at the Faculty of Fine Arts in Cairo, and then served as dean of the Faculty of Fine Arts in Alexandria, where he remained until his death in 1968. Osman is known for leading the Museum for Modern Art and the Faculty of Fine Arts in Cairo, as for devising a comprehensive plan to disassemble, relocate and assemble the Pharaohs of Abu Simbel.",Egyptian
Omar Onsi,1901,1969,"Beirut, Lebanon","Beirut, Lebanon","Onsi graduated with a degree in Architecture from the Académie in Beirut in 1922, and apprenticed with the painter Khalil Saleeby at the time. For the next two years he was tutor to the prince of the Faisal family in Jordan.",Lebanese
Rafik Lahham,1932,,"Damascus, Syria","Amman, Jordan","After graduating from the Ente Nazionale Addestramento Lavoratori Commercio and Accademia San Giacomo in Rome in 1962, Lahham continued his studies in painting and etching at the Rochester Institute of Technology, New York. He is credited with designing many Jordanian currency notes, postage stamps, and medals. In 1971 Lahham was one of the founders of the Union of Arab Visual Artists. He has participated in most national group shows since 1951, and in 1991 he received the Jordanian State Appreciation prize for Visual Arts.",Syrian
Faisal Laibi,1947,,"Basra, Iraq","London, United Kingdom","Laibi studied at the Institute of Fine Arts in Baghdad, 1967. Afterwards, he earned diplomas at the École Nationale Supérieure des Beaux-Arts and at the Sorbonne, both in Paris, completing the latter in 1981. Laibi is a member of several international and regional art groups including the French Artists Association and the Society of Iraqi Artists.",Iraqi
Hussein Madi,1938,,"Cheba'a, Lebanon","Beirut, Lebanon","Madi trained in painting from 1958 to 1962 at the Académie Libanaise des Beaux-Arts in Beirut. In 1963 Madi went to study art at the Accademia di Belle Arti and the Accademia San Giacomo in Rome, where he lived for twenty-two years. He maintained ties with Lebanon by exhibiting work there and teaching at the National Institute of Fine Arts, until he finally relocated to Lebanon in 1986. Madi was appointed president of the Lebanese Association of Painters and Sculptors from 1982 to 1992.",Lebanese
Nja Mahdaoui,1937,,"Tunis, Tunisia",Tunis,"Mahdaoui attained a degree from Accademia Sant'Andrea in Rome and another from the École du Louvre in Paris in 1967. He is a member of the International Jury of the Arts Prize of UNESCO, and participated in the second Havana Biennial in 1986.",Tunisian
Baya (Mahieddine),1931,1998,"Borj el Kiffan, Algeria",Algeria,"Baya, born Fatma Haddad, was a self-taught artist. She lost her parents at a young age and was adopted by the French artist, Marguerite Caminat. Her first exhibition was held at Galerie Maeght, Paris in 1947, where her work caught the attention of Pablo Picasso and André Breton, who declared it Surrealist. Later in life she received second prize from Algeria's Union Nationale des Arts Plastiques in 1971, and also participated in the second Havana Biennial in 1986.",Algerian
Sliman Mansour (Sulaiman Mansour),1947,,"Birzeit, Palestine","Jerusalem, Palestine","Mansour studied at the Bezalel Art Academy in Jerusalem. Though primarily known as a painter, he has worked as a cartoonist and writer. Mansour is the co-founder and Director of the Wasiti Art Center in Jerusalem, and is also a member of the New Vision group. Mansour is the co-author of Both Sides of Peace: Israeli and Palestinian Political Poster Art published in 1998. He received the Award at the 1998 Cairo Biennale.",Palestinian
Hassan Massoudy,1944,,"Najaf, Iraq","Paris, France","Massoudy began training in Baghdad as an apprentice calligrapher under Hisham al-Baghdadi in 1961. He moved to study figurative art at the École Nationale Supérieure des Beaux-Arts in Paris in 1969, but continued work with calligraphy, creating headings for Arabic magazines. Since then he has published several books and completed various studies on traditional and modern calligraphy. He regularly opens his studio to the public, and offers workshops to amateur and professional calligraphers.",Iraqi
Mohammed el-Melehi,1936,,"Asilah, Morocco","Marrakech, Morocco","El-Melehi studied at the School of Fine Arts in Tétouan, Morocco, in 1955. He then continued his education in Seville and Madrid, studied sculpture, ceramics in Rome and learnt engraving in 1964, he returned to Morocco to teach at the School of Fine Arts alongside Farid Belkahia and Mohammed Chebaa. El-Melehi was head of the Art Department at the Ministry of Culture in Morocco from 1985 to 1992. With Mohammed Benaïssa, he started a cultural festival in his hometown in 1978.",Moroccan
Sami Mohammed,1943,,Kuwait,Kuwait,"Mohammed joined the Free Art Atelier in 1960 where he studied painting at the Académie Julian. He later returned to Beirut, where in 1957 he founded the Lebanese Artists Association with George Corm and Rachid Wehbé, among others. Onsi received the Lebanese Order of Merit in 1955, and the National Order of the Cedar in 1958.",Kuwaiti
Hamed Owais,1919,1996,"Beni Soueif, Egypt","Alexandria, Egypt","Owais studied in Cairo, graduating in 1944 from the School of Fine Arts and the Institute of Art Education in 1946. He became a champion of social realism and was a founding member of the Modern Art Group. Owais has exhibited worldwide and won major prizes throughout his career, including the 1956 Guggenheim International Prize and the Pioneer in Arts Prize at the 1997 Alexandria Biennale.",Egyptian
Mohammed Racim,1896,1974,"Algiers, Algeria","Algiers, Algeria","Son of miniaturist Ali Racim, Mohammed Racim studied at the Algerian École des Beaux-Arts before going on to work at the Manuscripts Department at the Bibliothèque Nationale in Paris. Before returning to Algeria, Racim was awarded a grant to travel and study Islamic Art in Cordoba and Granada. In 1933 he taught miniature painting at his alma mater in Algiers, and won the Grand Prix Artistique d'Algérie the same year.",Algerian
Samir Rafi,1926,2004,"Cairo, Egypt",France,"After graduating from the School of Fine Arts in Cairo in 1948, Rafi earned his art diploma from the Higher Institute of Art Education in 1950. Later he won a scholarship to study for a Ph.D. in art history at the Sorbonne in Paris in 1953. Along with Abdel Hadi el-Gazzar and artist and scholar Hussain Youssef Amin, he was a founding member of the Contemporary Art Group in 1946. Rafi published widely in art journals, often conducting interviews with international artists such as Pablo Picasso and Salvador Dalí.",Egyptian
Khalid al-Rahhal,1926,1986,"Baghdad, Iraq","Baghdad, Iraq","Al-Rahhal graduated from the Institute of Fine Arts in Baghdad in 1947 and went to study in Rome on a government scholarship in 1954. He received his MFA from the Accademia de Belle Arti in 1964. Al-Rahhal's work handling artifacts at Iraqi archaeological excavations complemented his development as a sculptor. He was commissioned to construct numerous public statues in Baghdad, and is most known for the Monument of the Unknown Soldier, 1982. Al-Rahhal was a vigorous proponent of the Baghdad Modern Art Group, and exhibited as a painter as well.",Iraqi
Abdul Qadir al-Rassam,1882,1952,"Baghdad, Iraq","Baghdad, Iraq","Al-Rassam studied Military Science and Art in Istanbul, and worked with several different artists during his time there. Al-Rassam was a member of the Society of the Friends of Art in Baghdad and is known to have created an iconic mural for the first Iraqi film theater, The Royal Cinema.",Iraqi
